Time,energy,tlogenergy,tsqrootenergy,treciprocalsqroot,treciprocal,tquberoot,difenergy,difenergy1
2021-03-01,17736.05,9.78335457041712,264.353524474522,1.98498236504326,0.999943617660077,26.0786817696582,-13.4347612859963,-230.407263027873
2021-03-02,20751.01,9.94035019917306,286.104217254798,1.98611613520234,0.99995180957457,27.479769142503,-9.58844201552936,-163.265520321836
2020-03-03,40922.23,10.6194287151594,402.584873666824,1.99011332291357,0.999975563404047,34.4603563396078,6.7754144615975,113.248023955017
2020-03-04,33653.24,10.4238646157275,364.896388643988,1.98909773951501,0.999970285179079,32.2856073671916,-2.1747489724162,-37.6884850228366
2020-03-05,56446.42,10.9410471486119,473.169106739906,1.99158194431569,0.999982284084624,38.360017883004,6.07441051581242,108.272718095918
2020-03-06,35514.13,10.4776859244403,374.903860420665,1.98938721403507,0.999971842193516,32.8700521692449,-5.48996571375912,-98.2652463192408
2020-03-07,46050,10.7374830416835,427.185274677499,1.99068001575076,0.999978284473398,35.8434560668574,2.97340389761255,52.2814142568337
2020-03-08,30806.06,10.335466702855,349.033103852044,1.9886050632943,0.999967538854368,31.3481598259198,-4.49529624093759,-78.1521708254543
2020-03-09,12316.6,9.4187032249737,219.960356820762,1.98197876387796,0.999918808762158,23.093882177674,-8.25427764824581,-129.072747031282
2020-03-10,13713.73,9.52615279974034,232.211272145471,1.9829214027004,0.99992708037857,23.9360159123719,0.84213373469791,12.2509153247093
2020-03-11,14087.43,9.55303818939159,235.380959640827,1.98314944886038,0.999929014731573,24.1514896911654,0.215473778793452,3.1696874953559
2020-03-12,30142.01,10.3136751587426,345.229088643218,1.98848022780686,0.999966823712155,31.1212765770055,6.96978688584016,109.848129002391
2020-03-13,29645.74,10.2970737178809,342.358766405039,1.98838420743065,0.999966268340746,30.9495328699039,-0.171743707101683,-2.87032223817954
2020-03-14,13057.12,9.47708885783835,226.535511463755,1.98249724966426,0.999923413432671,23.5477345711111,-7.40179829879275,-115.823254941284
2020-03-15,42615.59,10.6599754277509,410.870875698444,1.99031174094508,0.999976534409121,34.9292694035479,11.3815348324368,184.335364234689
2020-03-16,10529.37,9.26192377427836,203.225437019878,1.98050923872749,0.999905027556255,21.9179935937696,-13.0112758097783,-207.645438678566
2020-03-17,12524.46,9.43543881125119,221.825467719828,1.98212893268693,0.999920156238273,23.2230720733049,1.30507847953524,18.6000306999504
2020-03-18,7293.88,8.89479091935504,168.808430705279,1.97658195217014,0.99986289875896,19.3933516028846,-3.82972047042027,-53.0170370145499
2020-03-19,15201.62,9.6291572801026,244.589699703779,1.98377872228724,0.999934217537341,24.77212659247,5.37877498958536,75.7812689985005
